model,dataset,n_samples,ndim,status,ln_Z_k1,ln_Z_k2,ln_Z_k3,ln_Z_k4,ln_Z_best
LCDM,CMBBAO,54390,9,SUCCESS,-5537.114969601687,-5536.624413026883,-5536.266290068334,-5536.036298138432,-5536.624413026883
LCDM,CMBPANBAO,84000,9,SUCCESS,-6240.40884410719,-6239.885573546715,-6239.557739925318,-6239.343895759226,-6239.885573546715
LCDM,DESY5,84000,9,SUCCESS,-6362.772828649891,-6362.249559768969,-6361.9217261852455,-6361.7078823654965,-6362.249559768969
LCDM,Union3,84000,9,SUCCESS,-5551.648460367373,-5551.125189624793,-5550.797356014025,-5550.583511899903,-5551.125189624793
EDE_PPF,sCMBBAO,32693,11,SUCCESS,-5539.2223497599025,-5538.652152402381,-5538.229655418558,-5537.895124151934,-5538.652152402381
EDE_PPF,sCMBPANBAO,12620,11,SUCCESS,-6244.21886462049,-6243.365435661533,-6242.911697262666,-6242.623960721449,-6243.365435661533
EDE_PPF,sDESY5,12620,11,SUCCESS,-6363.507329980612,-6362.653901316568,-6362.200163810175,-6361.912426682421,-6362.653901316568
EDE_PPF,sUnion3,12620,11,SUCCESS,-5555.031303741675,-5554.177881317115,-5553.72414167146,-5553.436403527933,-5554.177881317115
